,,,,,,A,A#,B,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,,,,
Maker / Handpan,Scale / Sound Model,Scale (generic),Feel,#,Notes list,"A

2","A#
Bb
2","B

2","C

3","C#
Db
3","D

3","D#
Eb
3","E

3","F

3","F#
Gb
3","G

3","G#
Ab
3","A

3","A#
Bb
3","B

3","C

4","C#
Db
4","D

4","D#
Eb
4","E

4","F

4","F#
Gb
4","G

4","G#
Ab
4","A

4","A#
Bb
4","B

4","C

5","C#
Db
5","D

5","D#
Eb
5","E

5","F

5","F#
Gb
5","G

5","G#
Ab
5","A

5","A#
Bb
5","B

5",Video Links,"Transposed to D
(with # notation)",Ding,Known artists playing this scale
Aciel,AmaRa (variation 1),,,#NAME?,#NAME?,,,,,C#,,,,,,,G#,,,B,,C#,,D#,E,,F#,,G#,,,b,,C#,,,,,,,,,,,,#NAME?,#NAME?,
Aciel,Aube,,,#NAME?,#NAME?,,,,,,,,E,,,G,,,,B,C,,,,E,,,G,,,,B,,,D,,,,,,,,,,,#NAME?,#NAME?,
Aciel,Mellifluence,,,#NAME?,#NAME?,,,,,,,,E,,,g,,A,,B,C,,D,,E,,F#,G,,,,B,c,,,,,,,,,,,,,#NAME?,#NAME?,
AsaChan,AmaRa,,Minor,#NAME?,#NAME?,,,,,C#,,,,,,,G#,,,B,,C#,,D#,E,,F#,,G#,,,B,,,,,,,,,,,,,https://www.youtube.com/watch?v=Rb2OzqG1J70,#NAME?,#NAME?,
AsaChan,AnnaZiska,,Minor,#NAME?,#NAME?,,,,,C#,,,,,,,G#,A,,B,,C#,,D#,E,,F#,,G#,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=eRoVAnlzCBQ,#NAME?,#NAME?,
AsaChan,Chandhra,,Minor,#NAME?,#NAME?,,,,,,D,,,,,G,,A,Bb,,C,,D,Eb,,F,,G,,,,,,,,,,,,,,,,,,#NAME?,#NAME?,
AsaChan,FahSai,,Major,#NAME?,#NAME?,,,,,,D,,,,F#,,,A,,B,,C#,D,,E,,F#,,,A,,,,,,,,,,,,,,,,#NAME?,#NAME?,
AsaChan,LalaBye,,,#NAME?,#NAME?,,,,,,D,,,,,G,,A,,,C,,D,,E,F,,G,,A,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=n3_f8Pzcozs,#NAME?,#NAME?,
AsaChan,LalanTa,,,#NAME?,#NAME?,,,,,,D,,,,,G,,A,,B,C,,D,,E,F,,G,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=_nPCMklvKt8,#NAME?,#NAME?,
AsaChan,MataHari,,,#NAME?,#NAME?,,,,,,D,,,,,G,,A,,,,C#,D,,,,F#,G,,A,,,,C#,,,,,,,,,,,,#NAME?,#NAME?,
AsaChan,SaBye,,Minor,#NAME?,#NAME?,,,,,,,,E,,,G,,A,,B,C,,D,,E,,F#,G,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=tjeG5n20sPQ,#NAME?,#NAME?,
AsaChan,SaByeD,,Major,#NAME?,#NAME?,,,,,,D,,,,,G,,A,,B,,C#,D,,E,,F#,,,A,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=XkcrIFPSYFA,#NAME?,#NAME?,
AsaChan,SahaRian,,Arabic / Eastern,#NAME?,#NAME?,,,,,,,,E,,,,,A,,B,C,,,D#,E,,F#,G,,,,B,,,,,,,,,,,,,http://youtu.be/J8EKncfVy1s,#NAME?,#NAME?,
AsaChan,Sairon,,Arabic / Eastern,#NAME?,#NAME?,,,,,,,,E,,,G,,,,B,C,,,D#,E,,F#,G,,,,B,,,,,,,,,,,,,,#NAME?,#NAME?,
AsaChan,SalaDin (with bottom notes),SalaDin,Oriental,#NAME?,#NAME?,,,,,,D,,,,,G,,A,,,C,,D,Eb,,,F#,G,,A,,,c,,d,,,,,,,,,,https://www.youtube.com/watch?v=LoYLCWZULvQ,#NAME?,#NAME?,
AsaChan,TalaySai,,Minor,#NAME?,#NAME?,,,,,,D,,,,,G,,A,Bb,,,C#,D,,E,F,,G,,,,,,,,,,,,,,,,,,#NAME?,#NAME?,
AsaChan,YshaSavita,,Major,#NAME?,#NAME?,,,,,C#,,,,,,,G#,,,,C,C#,,D#,,F,F#,,G#,,,,,C#,,,,,,,,,,,https://www.youtube.com/watch?v=MkVcSCtt_ho,#NAME?,#NAME?,
